Team_Season,Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Season,W_PCT,Playoffs,SB,Cap,QB_P,RB_P,WR_P,TE_P,OL_P,IDL_P,EDGE_P,LB_P,S_P,CB_P,Defense_P,Offense_P,Dead_Open_Specials,W
Colts 2022,Colts,22163558,3818974,9081436,9255943,42356344,86676255,29095351,22019573,20698461,5299201,21899515,99012101,2022,0.265,0,0,208200000,0.10645320845341018,0.018342814601344862,0.0436188088376561,0.044456978866474546,0.20344065321805957,0.13974712295869357,0.10576163784822286,0.09941623919308358,0.02545245437079731,0.10518499039385207,0.4755624447646494,0.41631246397694527,0.1081250912584053,4
Jaguars 2022,Jaguars,11319156,5232412,29108793,16652093,28354461,90666915,18616330,29701227,11848942,14816692,28605261,103588452,2022,0.529,1,0,208200000,0.05436674351585014,0.0251316618635927,0.13981168587896253,0.0799812343900096,0.1361885734870317,0.08941560999039386,0.1426571902017291,0.05691134486071085,0.07116566762728146,0.13739318443804036,0.49754299711815564,0.4354798991354467,0.06697710374639765,9
Chiefs 2022,Chiefs,38825381,6354516,17174008,11542063,32124103,106020071,35145929,21080281,5261411,10692255,5600619,77780495,2022,0.824,1,1,208200000,0.186481176753122,0.03052121037463977,0.0824880307396734,0.0554373823246878,0.15429444284341978,0.16880849663784822,0.10125014889529299,0.025270946205571566,0.051355691642651295,0.026900187319884725,0.3735854707012488,0.5092222430355428,0.11719228626320843,14
Raiders 2022,Raiders,20418333,9227435,19243265,15179098,17819365,81887496,8277623,27221208,7958161,4938654,10529295,58924941,2022,0.353,0,0,208200000,0.0980707636887608,0.04432005283381364,0.09242682516810759,0.07290633045148895,0.08558772814601345,0.03975803554274736,0.13074547550432278,0.03822363592699327,0.0237207204610951,0.05057298270893372,0.28302085014409223,0.39331170028818446,0.3236674495677233,6
Chargers 2022,Chargers,10283406,9875576,37838148,6820248,31772859,96590237,13777389,41335618,9663825,13289700,21839498,99906030,2022,0.588,1,0,208200000,0.049391959654178676,0.04743312199807877,0.18173942363112391,0.032758155619596545,0.15260739193083572,0.06617381844380403,0.19853803073967338,0.04641606628242075,0.0638314121037464,0.10489672430355428,0.47985605187319885,0.46393005283381367,0.05621389529298748,10
Rams 2022,Rams,16649944,2816993,28497273,5474116,20272409,73710735,42719120,9516649,5686025,6950860,30915195,95787849,2022,0.294,0,0,208200000,0.0799709125840538,0.013530225744476465,0.13687451008645532,0.026292584053794428,0.09736987992315081,0.20518309317963496,0.04570916906820365,0.02731039865513929,0.033385494716618634,0.1484879682997118,0.46007612391930836,0.35403811239193084,0.18588576368876075,5
Dolphins 2022,Dolphins,15532211,6283012,22148490,19623554,25147971,88735238,22072401,16107979,15828692,10737529,29180509,93927110,2022,0.529,1,0,208200000,0.07460235830931797,0.030177771373679156,0.10638083573487031,0.094253381364073,0.12078756484149857,0.10601537463976946,0.07736781460134486,0.07602637848222862,0.05157314601344861,0.14015614313160424,0.4511388568683958,0.426201911623439,0.12265923150816516,9
Vikings 2022,Vikings,32714868,15003672,20983931,4284548,23308381,96295400,15474289,19943129,19514329,12077857,10659606,77669210,2022,0.765,1,0,208200000,0.15713193083573487,0.07206374639769453,0.10078737271853987,0.020579000960614793,0.11195187800192123,0.07432415465898175,0.0957883237271854,0.0937287656099904,0.05801084053794429,0.051198876080691645,0.3730509606147935,0.46251392891450527,0.16443511047070125,13
Patriots 2022,Patriots,6453362,5591629,35197112,23907622,26861818,98011543,18729027,22426262,8224132,17181924,19990358,86551703,2022,0.471,0,0,208200000,0.03099597502401537,0.026857007684918346,0.16905433237271855,0.11483007684918348,0.12901929875120077,0.08995690201729106,0.10771499519692604,0.039501114313160425,0.08252605187319885,0.09601516810758885,0.4157142315081652,0.4707566906820365,0.11352907780979826,8
Saints 2022,Saints,7103500,9824543,25618265,7923351,31639451,82109110,11178334,22420038,11770496,11076225,15450274,71895367,2022,0.412,0,0,208200000,0.034118635926993275,0.04718800672430355,0.12304642170989433,0.0380564409221902,0.15196662343900097,0.05369036503362152,0.10768510086455331,0.05653456292026897,0.05319992795389049,0.0742088088376561,0.3453187656099904,0.3943761287223823,0.2603051056676273,7
Giants 2022,Giants,11387502,9341218,33814024,964500,29496146,85003390,22368816,11294138,3987964,7641916,15143232,60436066,2022,0.559,1,0,208200000,0.0546950144092219,0.044866560999039386,0.16241125840537946,0.004632564841498559,0.14167217098943324,0.10743907780979826,0.05424658021133526,0.019154486071085493,0.03670468780019212,0.07273406340057637,0.2902788952929875,0.4082775696445725,0.30144353506244004,9
Jets 2022,Jets,14312222,4608666,25719256,8380587,46776978,99797709,20430097,33306114,10709069,8834308,16520137,89799725,2022,0.412,0,0,208200000,0.06874266090297791,0.022135763688760808,0.12353148895292987,0.04025257925072046,0.22467328530259367,0.09812726705091258,0.15997172910662824,0.05143645052833814,0.04243183477425552,0.07934743996157541,0.4313147214217099,0.4793357780979827,0.08934950048030732,7
Eagles 2022,Eagles,5008230,5245906,13659798,6148811,37545173,67607918,30816368,21673435,6090121,5344794,17532680,81457398,2022,0.824,1,0,208200000,0.024054899135446686,0.025196474543707974,0.06560902017291066,0.02953319404418828,0.18033224303554274,0.1480132949087416,0.10409911143131605,0.029251301633045148,0.025671440922190203,0.08421075888568684,0.39124590778097984,0.32472583093179636,0.2840282612872238,14
Steelers 2022,Steelers,10257801,5678067,15219777,3360462,18038971,52555078,35843671,27954767,16767187,13290212,16048278,109904115,2022,0.529,0,0,208200000,0.04926897694524496,0.027272175792507205,0.07310171469740634,0.016140547550432278,0.08664251200768491,0.17215980307396733,0.13426881364073007,0.08053403938520654,0.06383387127761768,0.07708106628242074,0.5278775936599424,0.2524259269932757,0.21969647934678194,9
49ers 2022,49ers,22715235,3134553,15039393,10376509,29524154,80789844,18535038,25268938,16541317,17549904,14537091,92432288,2022,0.765,1,0,208200000,0.10910295389048992,0.015055489913544669,0.07223531700288184,0.04983914024975985,0.14180669548511046,0.08902515850144092,0.12136857829010567,0.07944916906820365,0.08429348703170028,0.06982272334293949,0.44395911623439,0.38803959654178677,0.16800128722382324,13
Seahawks 2022,Seahawks,5309222,9510195,23912230,7941161,23568919,70241727,24351722,16138952,10206077,18131252,7838060,76666063,2022,0.529,1,0,208200000,0.025500585975024016,0.045678170028818445,0.11485220941402498,0.03814198366954851,0.11320326128722383,0.11696312199807878,0.07751658021133526,0.04902054274735831,0.08708574447646494,0.03764678194044188,0.36823277137367916,0.3373762103746398,0.2943910182516811,9
Buccaneers 2022,Buccaneers,15762231,7606106,25649717,6774488,36945947,92738489,16245569,13044679,26999723,6991080,16467478,79748529,2022,0.471,1,0,208200000,0.0757071613832853,0.03653268972142171,0.12319748799231509,0.03253836695485111,0.17745411623439,0.07802866954851105,0.062654558117195,0.12968166666666667,0.033578674351585014,0.0790945148895293,0.383038083573487,0.4454298222862632,0.17153209414024984,8
Titans 2022,Titans,39710700,11960977,14123712,6991640,29697377,102484406,16401876,27135472,8756546,14150405,11447369,77891668,2022,0.412,0,0,208200000,0.1907334293948127,0.05744945725264169,0.06783723342939481,0.03358136407300672,0.14263869836695486,0.07877942363112392,0.130333679154659,0.0420583381364073,0.067965441882805,0.05498256003842459,0.3741194428434198,0.49224018251681073,0.1336403746397694,7
Commanders 2022,Commanders,32853576,5121964,28411119,9657546,35455377,111499582,20137963,17081969,9648261,6572800,15391044,68832037,2022,0.5,0,0,208200000,0.15779815561959654,0.02460117195004803,0.1364607060518732,0.046385907780979826,0.17029479827089336,0.09672412584053794,0.08204596061479347,0.046341311239193085,0.031569644572526416,0.0739243227665706,0.33060536503362153,0.535540739673391,0.13385389529298752,8
Packers 2022,Packers,32117878,7807590,12102936,9967867,31221736,93218007,22816924,18660198,9700624,15340635,15826881,82345262,2022,0.471,0,0,208200000,0.1542645437079731,0.03750043227665706,0.05813129682997118,0.04787640249759846,0.1499603073967339,0.10959137367915465,0.08962631123919308,0.04659281460134486,0.07368220461095101,0.07601768011527378,0.3955103842459174,0.4477329827089337,0.15675663304514886,8
Cardinals 2021,Cardinals,11081777,4387168,22461209,10860784,38223833,87014771,17619203,33036833,17081727,11793083,5346723,84877569,2021,0.647,1,0,182500000,0.060722065753424655,0.024039276712328767,0.12307511780821918,0.059511145205479454,0.2094456602739726,0.09654357808219179,0.18102374246575342,0.09359850410958905,0.06461963287671232,0.029297112328767125,0.4650825698630137,0.4767932657534247,0.058124164383561605,11
Falcons 2021,Falcons,29429000,3371749,12173921,10820907,28356946,84152523,28858522,13833204,10355974,5057903,8919054,67024657,2021,0.412,0,0,182500000,0.16125479452054794,0.01847533698630137,0.06670641643835616,0.059292641095890414,0.15538052602739727,0.15812888767123287,0.07579837808219178,0.05674506301369863,0.02771453698630137,0.048871528767123286,0.3672583945205479,0.46110971506849313,0.17163189041095894,7
Ravens 2021,Ravens,4028597,7300004,14428685,10494617,26461996,62713899,32559525,9520273,8917743,7604949,31470976,90073466,2021,0.471,0,0,182500000,0.02207450410958904,0.04000002191780822,0.07906128767123288,0.05750475068493151,0.14499723835616438,0.17840835616438355,0.052165879452054795,0.04886434520547945,0.041670953424657535,0.17244370410958904,0.4935532383561644,0.34363780273972605,0.1628089589041095,8
Bills 2021,Bills,12943981,4749059,22340141,2152750,32975145,75161076,21438386,24237883,23070184,13577981,13341560,95665994,2021,0.647,1,0,182500000,0.07092592328767124,0.02602224109589041,0.12241173150684931,0.011795890410958904,0.18068572602739727,0.11747060821917808,0.13281031780821917,0.12641196712328767,0.07439989589041096,0.07310443835616438,0.5241972273972603,0.41184151232876715,0.06396126027397253,11
Panthers 2021,Panthers,11654685,8710326,16677314,4033313,21170301,62245939,14544720,11028902,10498344,8287077,19983381,64342424,2021,0.294,0,0,182500000,0.06386128767123288,0.047727813698630134,0.09138254246575342,0.022100345205479453,0.1160016493150685,0.07969709589041096,0.0604323397260274,0.057525172602739726,0.04540864109589041,0.10949797808219178,0.35256122739726026,0.3410736383561644,0.3063651342465754,5
Bears 2021,Bears,15162197,6793142,23816178,9074724,18806298,73652539,26939624,29052430,14937106,8872500,6517421,86319081,2021,0.353,0,0,182500000,0.08308053150684931,0.03722269589041096,0.13049960547945205,0.04972451506849315,0.10304820821917808,0.14761437808219177,0.15919139726027398,0.08184715616438357,0.04861643835616438,0.03571189589041096,0.47298126575342464,0.40357555616438356,0.12344317808219185,6
Bengals 2021,Bengals,9918102,11151410,20240018,8811429,25634500,75755459,24636551,18701932,6670520,11945326,32331140,94285469,2021,0.588,1,0,182500000,0.054345764383561646,0.06110361643835616,0.11090420821917808,0.04828180273972603,0.14046301369863012,0.1349948,0.10247633972602739,0.03655079452054794,0.0654538410958904,0.1771569315068493,0.5166327068493151,0.41509840547945204,0.06826888767123296,10
Browns 2021,Browns,17953574,12035178,18397436,16112858,48082696,112581742,4940321,18031468,8430221,10599169,16475385,58476564,2021,0.471,0,0,182500000,0.09837574794520548,0.0659461808219178,0.10080786849315068,0.08828963287671233,0.2634668273972603,0.02707025205479452,0.09880256438356165,0.04619299178082192,0.058077638356164384,0.09027608219178082,0.32041952876712326,0.6168862575342465,0.06269421369863015,8
Cowboys 2021,Cowboys,19135600,9421449,33396526,8390452,33054614,103398641,7668124,31773423,11100359,5742020,15221629,71505555,2021,0.706,1,0,182500000,0.10485260273972603,0.05162437808219178,0.18299466301369863,0.04597507945205479,0.18112117260273972,0.04201711780821918,0.17410094794520548,0.06082388493150685,0.03146312328767123,0.08340618630136987,0.3918112602739726,0.566567895890411,0.04162084383561637,12
Broncos 2021,Broncos,7063475,12823198,15644823,5387629,27755031,68674156,10943846,12395715,10360250,13133496,28883123,75716430,2021,0.412,0,0,182500000,0.03870397260273973,0.07026409863013698,0.08572505753424657,0.029521254794520547,0.15208236164383562,0.059966279452054794,0.06792172602739727,0.05676849315068493,0.07196436164383561,0.1582636876712329,0.41488454794520546,0.37629674520547945,0.20881870684931503,7
Lions 2021,Lions,14042071,5166911,5166732,6768589,30734194,61878497,10650670,28999584,6343876,6480559,11531638,64006327,2021,0.206,0,0,182500000,0.07694285479452055,0.02831184109589041,0.028310860273972602,0.03708815890410959,0.16840654246575343,0.05835983561643836,0.1589018301369863,0.034760964383561646,0.03550991232876712,0.06318705753424657,0.3507196,0.33906025753424657,0.31022014246575336,3
Texans 2021,Texans,22848835,8294192,11736292,5623184,29182608,77685111,9920959,6488018,13244544,13656590,13021581,56331692,2021,0.235,0,0,182500000,0.12519909589041095,0.04544762739726027,0.06430844931506849,0.03081196712328767,0.159904701369863,0.05436141917808219,0.03555078356164384,0.07257284383561644,0.0748306301369863,0.07135112876712328,0.3086668054794521,0.4256718410958904,0.26566135342465746,4
Colts 2021,Colts,22136113,6827157,16192231,10466191,43792546,99414238,29958645,11329895,13284980,5690631,17788830,78052981,2021,0.529,0,0,182500000,0.1212937698630137,0.037409079452054794,0.08872455342465753,0.057348991780821916,0.23995915616438357,0.16415695890410958,0.06208161643835616,0.07279441095890411,0.031181539726027396,0.09747304109589042,0.42768756712328765,0.5447355506849315,0.027576882191780783,9
Jaguars 2021,Jaguars,8947733,6466686,14495851,6349550,51489049,87748869,12950289,18128257,17240543,6730468,14101980,69151537,2021,0.176,0,0,182500000,0.04902867397260274,0.03543389589041096,0.0794293205479452,0.03479205479452055,0.28213177534246575,0.07096048767123288,0.09933291506849315,0.09446872876712328,0.03687927671232877,0.07727112328767123,0.37891253150684934,0.4808157205479452,0.14027174794520547,3
Chiefs 2021,Chiefs,9351714,5433901,22867909,9570894,18617755,65842173,18486165,29594317,15978427,23604868,9058130,96721907,2021,0.706,1,0,182500000,0.05124226849315069,0.0297748,0.1253036109589041,0.05244325479452055,0.10201509589041095,0.10129405479452054,0.1621606410958904,0.08755302465753424,0.12934174246575342,0.04963358904109589,0.5299830520547946,0.3607790301369863,0.10923791780821912,12
Raiders 2021,Raiders,25765000,10563364,5819855,8743209,32231713,83123141,11778821,18564836,19055704,6248290,9303864,64951515,2021,0.588,1,0,182500000,0.14117808219178082,0.057881446575342464,0.031889616438356166,0.04790799452054795,0.17661212602739726,0.06454148493150685,0.1017251287671233,0.10441481643835616,0.034237205479452054,0.050980076712328765,0.35589871232876713,0.45546926575342467,0.18863202191780815,10
Chargers 2021,Chargers,8035281,8542094,34801898,7986554,32588937,91954764,19659580,25210644,8301664,7817229,22630464,83619581,2021,0.529,0,0,182500000,0.04402893698630137,0.04680599452054795,0.1906953315068493,0.0437619397260274,0.17856951780821917,0.10772372602739726,0.13814051506849315,0.0454885698630137,0.04283413150684932,0.12400254246575343,0.45818948493150685,0.5038617205479452,0.03794879452054789,9
Rams 2021,Rams,21515000,6524693,15345744,8559019,19911195,71855651,24636263,10301210,2935466,4560477,17562194,59995610,2021,0.706,1,1,182500000,0.11789041095890411,0.035751742465753425,0.08408626849315068,0.04689873424657534,0.10910243835616439,0.13499322191780821,0.05644498630136986,0.01608474520547945,0.02498891506849315,0.0962312,0.32874306849315066,0.39372959452054795,0.2775273369863014,12
Dolphins 2021,Dolphins,11954381,5920953,38584072,10306584,16909929,83675919,13066824,11270090,9884867,12997394,34411144,81630319,2021,0.529,0,0,182500000,0.06550345753424658,0.03244357808219178,0.21141957260273972,0.056474432876712326,0.09265714520547945,0.07159903561643835,0.06175391780821918,0.054163654794520545,0.07121859726027398,0.18855421369863012,0.4472894191780822,0.45849818630136985,0.09421239452054797,9
Vikings 2021,Vikings,33286933,7166003,14628459,4765830,18976157,78823382,15957772,17192697,23783390,10655965,12555136,80144960,2021,0.471,0,0,182500000,0.18239415342465753,0.0392657698630137,0.0801559397260274,0.02611413698630137,0.10397894246575343,0.08743984657534247,0.09420655890410959,0.13031994520547946,0.05838884931506849,0.06879526575342466,0.43915046575342465,0.4319089424657534,0.12894059178082196,8
Patriots 2021,Patriots,4645686,5995321,17865475,15278024,29626483,73410989,9620537,17559662,22789047,20807958,20534652,91311856,2021,0.588,1,0,182500000,0.025455813698630137,0.03285107397260274,0.09789301369863014,0.0837152,0.16233689315068492,0.05271527123287671,0.09621732602739726,0.12487149041095891,0.11401620821917809,0.11251864109589041,0.5003389369863014,0.40225199452054794,0.09740906849315067,10
Saints 2021,Saints,4266117,8210277,14666168,11853791,29430260,68426613,8119313,16877510,11701382,19014778,8281114,63994097,2021,0.529,0,0,182500000,0.023375983561643835,0.04498781917808219,0.08036256438356164,0.0649522794520548,0.16126169863013698,0.044489386301369865,0.09247950684931507,0.06411716164383562,0.10419056438356164,0.04537596712328767,0.35065258630136986,0.3749403452054795,0.27440706849315066,9
Giants 2021,Giants,8984088,14243098,17100319,13588566,30547004,84463075,17946070,6332731,11369889,16104871,20717406,72470967,2021,0.235,0,0,182500000,0.04922787945205479,0.07804437260273972,0.09370037808219178,0.07445789589041096,0.16738084383561644,0.0983346301369863,0.03469989589041096,0.06230076164383562,0.08824586849315068,0.11352003287671233,0.39710118904109587,0.4628113698630137,0.14008744109589044,4
Jets 2021,Jets,7962377,3954009,29573413,6176082,45637619,93303500,18957019,17880400,16904572,15659946,6983190,76385127,2021,0.235,0,0,182500000,0.04362946301369863,0.02166580273972603,0.162046098630137,0.033841545205479454,0.25006914520547946,0.10387407671232876,0.09797479452054794,0.09262779178082192,0.08580792328767123,0.038264054794520545,0.4185486410958904,0.5112520547945205,0.07019930410958908,4
Eagles 2021,Eagles,2622691,3587095,10234216,5787910,38148853,60380765,21527711,16619103,5457482,5487108,15124292,64215696,2021,0.529,1,0,182500000,0.014370909589041097,0.01965531506849315,0.056077895890410956,0.03171457534246575,0.2090348109589041,0.1179600602739726,0.09106357808219179,0.02990401095890411,0.03006634520547945,0.08287283287671234,0.3518668273972603,0.3308535068493151,0.3172796657534247,9
Steelers 2021,Steelers,29853066,5480165,8548274,6995881,15125238,66002624,23090770,10365229,11332162,7309930,21940345,74038436,2021,0.559,1,0,182500000,0.16357844383561643,0.030028301369863012,0.046839857534246576,0.038333594520547944,0.08287801643835617,0.12652476712328767,0.05679577534246576,0.06209403835616439,0.04005441095890411,0.12022106849315069,0.4056900602739726,0.36165821369863016,0.23265172602739725,9
49ers 2021,49ers,33349156,8755882,9519367,7605421,29961607,89191433,21445797,25138133,7616028,9059886,12969437,76229281,2021,0.588,1,0,182500000,0.182735101369863,0.04797743561643836,0.05216091506849315,0.0416735397260274,0.1641731890410959,0.11751121643835616,0.13774319452054795,0.041731660273972605,0.04964321095890411,0.07106540821917809,0.4176946904109589,0.4887201808219178,0.09358512876712322,10
Seahawks 2021,Seahawks,33507500,8917195,12939419,6010177,26938287,88312578,9216698,11869192,24484624,11188515,6760542,63519571,2021,0.412,0,0,182500000,0.1836027397260274,0.048861342465753424,0.07090092602739725,0.03293247671232877,0.14760705205479452,0.05050245479452055,0.06503666849315068,0.13416232328767122,0.061306931506849315,0.03704406575342466,0.34805244383561645,0.48390453698630137,0.16804301917808218,7
Buccaneers 2021,Buccaneers,13552013,7903400,27844841,11246722,32632000,93178976,18437066,20874895,14636136,6607793,10080486,70636376,2021,0.765,1,0,182500000,0.07425760547945205,0.043306301369863014,0.1525744712328767,0.06162587397260274,0.1788054794520548,0.1010250191780822,0.11438298630136987,0.08019800547945205,0.03620708493150685,0.0552355397260274,0.3870486356164384,0.5105697315068494,0.1023816328767122,13
Titans 2021,Titans,12020333,15512770,9832138,7244014,41177168,85786423,10176787,10731638,10537795,18006045,11198678,60650943,2021,0.706,1,0,182500000,0.06586483835616438,0.0850014794520548,0.053874728767123285,0.03969322739726027,0.22562831780821918,0.05576321643835616,0.05880349589041096,0.05774134246575342,0.0986632602739726,0.061362619178082195,0.33233393424657537,0.47006259178082194,0.1976034739726027,12
Commanders 2021,Commanders,13591944,3951831,11023030,7081381,43517622,79165808,20312747,13948471,10373793,22785858,22097770,89518639,2021,0.412,0,0,182500000,0.07447640547945206,0.021653868493150683,0.06040016438356165,0.038802087671232874,0.23845272328767123,0.11130272328767123,0.07642997808219178,0.05684270136986301,0.12485401643835617,0.12108367123287671,0.4905130904109589,0.4337852493150685,0.07570166027397263,7
Packers 2021,Packers,30581060,6594753,25476456,6298940,25662744,94613953,14912057,30741794,3709686,12249104,10494161,72106802,2021,0.765,1,0,182500000,0.1675674520547945,0.03613563287671233,0.1395970191780822,0.0345147397260274,0.14061777534246575,0.08170990136986302,0.16844818630136987,0.020327046575342466,0.06711837808219179,0.05750225205479452,0.39510576438356165,0.5184326191780821,0.08646161643835626,13
Cardinals 2020,Cardinals,9578101,10593827,23209798,5105235,29353069,77840030,12796580,32876967,18224888,6926444,25002424,95827303,2020,0.5,0,0,198200000,0.04832543390514632,0.05345018668012109,0.11710291624621594,0.02575799697275479,0.14809822906155398,0.06456397578203835,0.16587773461150354,0.09195200807265388,0.034946740665993944,0.12614744702320888,0.4834879061553986,0.3927347628657921,0.12377733097880927,8
Falcons 2020,Falcons,21507782,9372815,26854214,3078558,35991007,96804376,17819198,14691090,13006119,17770690,7025458,70312555,2020,0.25,0,0,198200000,0.10851554994954592,0.04728968213925328,0.1354904843592331,0.01553258324924319,0.18158933905146316,0.08990513622603431,0.07412255297679111,0.06562118567103935,0.0896603935418769,0.03544630676084763,0.3547555751765893,0.48841763874873867,0.15682678607467204,4
Ravens 2020,Ravens,5966788,8155745,12794229,8389562,21116613,56422937,27706314,25887415,7122223,6137220,36177351,103030523,2020,0.688,1,0,198200000,0.030104883955600403,0.04114906659939455,0.06455211402623613,0.04232876892028254,0.10654194248234107,0.1397896770938446,0.13061258829465186,0.03593452573158426,0.030964783047426843,0.1825295206861756,0.5198310948536832,0.2846767759838547,0.19549212916246206,11
Bills 2020,Bills,8756449,5465493,34088188,10368680,38644130,97322940,21223086,31426602,16731863,16659474,20736847,106777872,2020,0.813,1,0,198200000,0.04417986377396569,0.027575645812310798,0.17198883955600403,0.05231422805247225,0.19497542885973765,0.10707914228052472,0.15856005045408678,0.08441908678102926,0.08405385469223008,0.10462586781029264,0.5387380020181635,0.49103400605449044,-0.02977200807265401,13
Panthers 2020,Panthers,15601427,12031841,16714487,2979798,35976093,83303646,26270183,11266370,12158932,9916654,4327671,63939810,2020,0.313,0,0,198200000,0.07871557517658931,0.06070555499495459,0.08433141775983855,0.015034298688193743,0.18151409182643793,0.13254380928355197,0.05684344096871847,0.06134678102926337,0.0500335721493441,0.02183486881937437,0.3226024722502523,0.4203009384460141,0.2570965893037336,5
Bears 2020,Bears,16294775,5188323,25075558,10102779,29765996,86427431,23369611,34953918,11570430,7673452,22163187,99730598,2020,0.5,1,0,198200000,0.08221379919273461,0.026177209889001008,0.12651643794147327,0.050972648839556,0.150181614530777,0.1179092381432896,0.17635680121089808,0.058377547931382445,0.03871570131180626,0.11182233602421796,0.5031816246215943,0.43606171039354186,0.06075666498486387,8
